author,text,like_count,published_at,updated_at
@AbhilashaThisisnotutopia-y5v,We also need a pedagogical revolution and a scientific revolution - read my publications. Sujay Rao Mandavilli,0,2025-05-29T15:10:56Z,2025-05-29T15:10:56Z
@Agni_SwaR,Why you always keep this sand mafia minister in the thumbnail ??,0,2025-05-20T09:11:56Z,2025-05-20T09:11:56Z
@christianoronaldo2189,Good jobs,0,2025-05-20T00:50:54Z,2025-05-20T00:50:54Z
@Doz997,Still way way behind,1,2025-05-14T13:25:28Z,2025-05-14T13:25:28Z
@MAXIMUS777-k1l,"Im a class 12 grad , my dream is to build a mobile company which will be equivalent to international brands",23,2025-05-13T16:14:08Z,2025-05-13T16:14:08Z
@mygumybear,What are all the IIT graduates doing to create India’s own GPU design? While most go US to study and work for the west India tax payer money go waste. Most of the Chinese graduates after studying in the west they come back to their country and build technologies and patents. Won’t deny the India is far ahead. Most likely left behind unless they start treating all indians equally interms of education an opportunity without bucketing them in various social classes.,0,2025-05-13T13:06:19Z,2025-05-13T13:06:19Z
@pruthirajpradhan1295,14517 gpus baap re itna saara oh my god!Joke chal raha hai yahan.,0,2025-05-13T10:31:59Z,2025-05-13T10:31:59Z
@maveRickduh-rk4io,We need more semiconductor chip fabs to win.,3,2025-05-12T20:16:19Z,2025-05-12T20:16:19Z
@Greenline-l8i,"GPUs are future ammunition , edit - todays , as already in future",1,2025-05-09T19:44:55Z,2025-05-09T19:45:15Z
@shivansh.a7u,"Lately consuming multiple videos at this channel. Very interesting whitespace in YT market.
Summit looks cool. Seems like 2025 tickets was just launched. Any discounts?",0,2025-05-09T18:11:51Z,2025-05-09T18:11:51Z
@amitsarkar4282,No one can replace CUDA LIBRARY. AMD is having ROCm (Radeon Open Compute) but no use till date. Hope India could make its own CUDA Library.,17,2025-05-09T10:59:25Z,2025-05-09T10:59:25Z
@sanatanotaku8194,🙏,0,2025-05-08T20:40:40Z,2025-05-08T20:40:40Z
@jeetroy491,"Long known pc part war named as GPU war those who know what the US is doing and cost of invedia 
 and AMD current gpu prices are",1,2025-05-08T18:33:08Z,2025-05-08T18:33:08Z
@shubhamtainwala8520,"Have u noticed that most of the companies that are selected have an tie-up or a subsidiary of an American tech giant. Doesn't this look fishy, bcz the so called Indian company are actually controlled by their American boss and will have access to everything we do.",0,2025-05-08T17:38:41Z,2025-05-08T17:38:41Z
@stopitsuraj,ambani should buy preplexity ai,6,2025-05-08T16:46:05Z,2025-05-08T16:46:05Z
@RamanKumar-mg8qs,"Most of people are unaware and thinks that india is doing nothing to catch up thank you for postive news AIM TV , you have such a unique content",53,2025-05-08T14:13:09Z,2025-05-08T14:13:09Z
